"","point","waypoint","transect","habitat","site","latitude","longitude","elevation","distance"
"1","Zn1_0","WAY_001","vegetated","Zn","S1",21781.889,-298079.316,0.304,0
"2","Zn1_5","WAY_004","vegetated","Zn","S1",21785.773,-298075.974,0.334,5.13136484800256
"3","Zn1_10","WAY_007","vegetated","Zn","S1",21789.164,-298072.574,0.296,9.93900131649827
"4","Zn1_15","WAY_010","vegetated","Zn","S1",21792.974,-298069.287,0.316,14.9729349861378
"5","Zn1_20","WAY_013","vegetated","Zn","S1",21796.672,-298065.859,0.391,20.0157413534103
"6","Sm1_5","WAY_017","vegetated","Sm","S1",21800.423,-298062.551,0.626,25.0174761840559
"7","Sm1_10","WAY_020","vegetated","Sm","S1",21804.08,-298059.124,0.868,30.0318658945296
"8","Bs1_0","WAY_021","unvegetated","Bs","S1",21862.151,-298179.039,-0.704,0
"9","Bs1_5","WAY_024","unvegetated","Bs","S1",21865.183,-298175.081,-0.586,4.99233046466746
"10","Bs1_10","WAY_027","unvegetated","Bs","S1",21868.225,-298171.216,-0.404,9.91090716487808
"11","Bs1_15","WAY_030","unvegetated","Bs","S1",21871.384,-298167.336,-0.143,14.9143505670356
"12","Bs1_20","WAY_033","unvegetated","Bs","S1",21874.525,-298163.491,0.145,19.8800346056956
"13","Bs1_25","WAY_036","unvegetated","Bs","S1",21877.75,-298159.673,0.525,24.8783235691148
"14","Bs1_30","WAY_039","unvegetated","Bs","S1",21880.831,-298155.832,0.911,29.8044519745802
"15","Zn2_0","WAY_040","vegetated","Zn","S2",22959.91,-297414.697,-1.395,0
"16","Zn2_5","WAY_043","vegetated","Zn","S2",22956.976,-297418.672,-0.802,4.94195488832808
"17","Zn2_10","WAY_046","vegetated","Zn","S2",22953.883,-297422.785,-0.585,10.0905047870693
"18","Zn2_15","WAY_049","vegetated","Zn","S2",22950.905,-297426.603,-0.388,14.933070202745
"19","Zn2_20","WAY_052","vegetated","Zn","S2",22947.866,-297430.661,-0.138,20.0028885768994
"20","Zn2_25","WAY_055","vegetated","Zn","S2",22944.806,-297434.575,0.122,24.9711216614
"21","Zn2_27","WAY_057","vegetated","Zn","S2",22943.426,-297436.341,0.218,27.2129169608072
"22","Sm2_5","WAY_063","vegetated","Sm","S2",22940.079,-297440.028,0.47,32.4791827482811
"23","Sm2_10","WAY_066","vegetated","Sm","S2",22936.621,-297443.612,0.65,37.4598422414303
"24","Sm2_12","WAY_068","vegetated","Sm","S2",22935.304,-297445.096,0.409,39.4447049579956
"25","Bs2_0","WAY_069","unvegetated","Bs","S2",22850.084,-297338.704,-0.959,0
"26","Bs2_5","WAY_073","unvegetated","Bs","S2",22847.076,-297342.658,-0.767,4.9717910638296
"27","Bs2_10","WAY_076","unvegetated","Bs","S2",22844.121,-297346.555,-0.611,9.86302369911709
"28","Bs2_15","WAY_079","unvegetated","Bs","S2",22841.089,-297350.572,-0.315,14.8966243527418
"29","Bs2_20","WAY_082","unvegetated","Bs","S2",22838.129,-297354.526,-0.11,19.8360378802852
"30","Bs2_25","WAY_085","unvegetated","Bs","S2",22835.08,-297358.579,0.02,24.9082197851441
"31","Bs2_27","WAY_087","unvegetated","Bs","S2",22833.863,-297360.206,0.121,26.9400230451229
"32","Zn3_0","WAY_088","vegetated","Zn","S3",22606.589,-296418.715,-1.436,0
"33","Zn3_5","WAY_089","vegetated","Zn","S3",22601.8115,-296417.462,-1.3145,4.93908040530489
"34","Zn3_10","WAY_092","vegetated","Zn","S3",22597.034,-296416.209,-1.193,10.1987305443074
"35","Zn3_15","WAY_095","vegetated","Zn","S3",22592.356,-296414.77,-0.989,15.1050847671521
"36","Zn3_20","WAY_098","vegetated","Zn","S3",22587.53,-296413.356,-0.875,20.1384584488322
"37","Zn3_25","WAY_101","vegetated","Zn","S3",22582.652,-296411.907,-0.729,25.2430180980359
"38","Zn3_30","WAY_104","vegetated","Zn","S3",22577.854,-296410.77,-0.596,30.1749633314417
"39","Zn3_35","WAY_107","vegetated","Zn","S3",22572.855,-296409.262,-0.473,35.3985704290596
"40","Zn3_40","WAY_110","vegetated","Zn","S3",22567.989,-296408.042,-0.301,40.4239691386295
"41","Zn3_45","WAY_113","vegetated","Zn","S3",22563.225,-296406.677,-0.155,45.3901648462148
"42","Zn3_50","WAY_116","vegetated","Zn","S3",22558.372,-296405.172,-0.036,50.4716557335781
"43","Zn3_55","WAY_119","vegetated","Zn","S3",22553.595,-296403.829,0.013,55.4349061284151
"44","Zn3_60","WAY_122","vegetated","Zn","S3",22548.811,-296402.119,0.16,60.5170991595218
"45","Sm3_5","WAY_125","vegetated","Sm","S3",22544.305,-296400.676,0.341,65.2489466906528
"46","Sm3_10","WAY_128","vegetated","Sm","S3",22539.456,-296398.856,0.363,70.4344004916502
"47","Sm3_15","WAY_131","vegetated","Sm","S3",22534.859,-296397.953,0.354,75.1235438452687
"48","Sm3_20","WAY_134","vegetated","Sm","S3",22529.783,-296395.904,0.244,80.6033142655127
"49","Sm3_25","WAY_137","vegetated","Sm","S3",22525.364,-296394.752,0.278,85.1718340283152
"50","Zn4_0","WAY_138","vegetated","Zn","S4",22089.388,-295800.178,-0.493,0
"51","Zn4_5","WAY_141","vegetated","Zn","S4",22092.709,-295796.611,-0.208,4.8740167348612
"52","Zn4_7","WAY_143","vegetated","Zn","S4",22094.258,-295795.428,0.07,6.82338571216688
"53","Sm4_8","WAY_145","vegetated","Sm","S4",22094.894,-295794.804,0.114,7.90816441094344
"54","Sm4_12","WAY_148","vegetated","Sm","S4",22097.589,-295791.415,0.374,12.2804750236397
"55","Sm4_15","WAY_151","vegetated","Sm","S4",22099.22,-295789.262,0.601,15.0168831550801
"56","Bs4_0","WAY_152","unvegetated","Bs","S4",22113.797,-295818.391,-0.243,0
"57","Bs4_5","WAY_155","unvegetated","Bs","S4",22117.957,-295815.523,0.115,5.05846993901629
"58","Bs4_8","WAY_158","unvegetated","Bs","S4",22120.302,-295813.791,0.229,7.98733390451757
